RideId,VendorId,PickupTime,DropTime,PickupLocationId,DropLocationId,CabNumber,DriverLicenseNumber,PassengerCount,TripDistance,RateCodeId,PaymentType,TotalAmount,FareAmount,Extra,MtaTax,TipAmount,TollsAmount,ImprovementSurcharge
36,1,2023-08-01T00:00:07.000Z,2023-08-01T00:17:31.000Z,186,233,T520218C,448070,1,1.9,1,2,13.3,12.0,0.5,0.5,0.0,0.0,0.3
37,2,2023-08-01T00:00:07.000Z,2023-08-01T00:23:17.000Z,158,148,T529745C,5052444,1,2.36,1,1,19.56,15.0,0.5,0.5,3.26,0.0,0.3
38,2,2023-08-01T00:00:07.000Z,2023-08-01T00:15:50.000Z,163,141,T505581C,5040140,1,1.76,1,1,14.76,11.0,0.5,0.5,2.46,0.0,0.3
39,1,2023-08-01T00:00:08.000Z,2023-08-01T00:08:14.000Z,163,236,T772132C,319296,1,1.8,1,1,11.6,8.0,0.5,0.5,2.3,0.0,0.3
40,1,2023-08-01T00:00:08.000Z,2023-08-01T00:14:48.000Z,161,68,T602478C,5063606,1,1.8,1,1,14.15,10.5,0.5,0.5,2.35,0.0,0.3
41,1,2023-08-01T00:00:08.000Z,2023-08-01T00:40:14.000Z,79,36,T511341C,5155153,1,8.5,1,1,43.25,32.0,0.5,0.5,9.95,0.0,0.3
42,1,2023-08-01T00:00:08.000Z,2023-08-01T00:18:09.000Z,186,148,T523443C,478974,1,2.5,1,1,17.15,13.0,0.5,0.5,2.85,0.0,0.3
43,1,2023-08-01T00:00:09.000Z,2023-08-01T00:10:26.000Z,151,239,T612388C,502941,1,1.3,1,1,12.7,8.5,0.5,0.5,2.9,0.0,0.3
44,2,2023-08-01T00:00:09.000Z,2023-08-01T00:14:02.000Z,88,233,T402127C,492246,1,5.1,1,1,21.96,17.0,0.5,0.5,3.66,0.0,0.3
45,1,2023-08-01T00:00:09.000Z,2023-08-01T00:14:20.000Z,158,45,ELITE276,5081039,1,3.6,1,1,14.8,13.5,0.5,0.5,0.0,0.0,0.3
46,2,2023-08-01T00:00:09.000Z,2023-08-01T00:29:07.000Z,164,7,T480919C,487879,1,4.31,1,2,21.3,20.0,0.5,0.5,0.0,0.0,0.3
47,1,2023-08-01T00:00:09.000Z,2023-08-01T00:32:32.000Z,163,87,T518068C,5139110,1,5.8,1,2,25.8,24.5,0.5,0.5,0.0,0.0,0.3
48,1,2023-08-01T00:00:09.000Z,2023-08-01T00:24:39.000Z,231,189,T615375C,5126732,1,4.8,1,1,24.35,19.0,0.5,0.5,4.05,0.0,0.3
49,4,2023-08-01T00:00:09.000Z,2023-08-01T00:08:42.000Z,161,48,T623752C,421061,1,0.43,1,2,8.3,7.0,0.5,0.5,0.0,0.0,0.3
50,1,2023-08-01T00:00:10.000Z,2023-08-01T00:01:32.000Z,231,231,T622072C,5039568,3,0.4,1,2,4.8,3.5,0.5,0.5,0.0,0.0,0.3
51,1,2023-08-01T00:00:10.000Z,2023-08-01T00:10:21.000Z,161,229,T623673C,440798,2,0.9,1,1,11.15,8.0,0.5,0.5,1.85,0.0,0.3
52,1,2023-08-01T00:00:10.000Z,2023-08-01T00:08:31.000Z,125,113,T628228C,474014,1,0.9,1,1,9.95,7.0,0.5,0.5,1.65,0.0,0.3
53,2,2023-08-01T00:00:11.000Z,2023-08-01T00:19:54.000Z,107,244,T432518C,5147007,1,9.34,1,1,30.8,27.5,0.5,0.5,2.0,0.0,0.3
54,1,2023-08-01T00:00:12.000Z,2023-08-01T00:13:49.000Z,162,158,T608526C,500153,1,2.4,1,1,15.35,11.0,0.5,0.5,3.05,0.0,0.3
55,1,2023-08-01T00:00:12.000Z,2023-08-01T00:07:13.000Z,236,143,T623312C,5077824,1,2.1,1,1,11.15,8.0,0.5,0.5,1.85,0.0,0.3
56,2,2023-08-01T00:00:12.000Z,2023-08-01T00:16:26.000Z,246,87,T619171C,466280,1,3.9,1,1,19.56,15.0,0.5,0.5,3.26,0.0,0.3
57,2,2023-08-01T00:00:12.000Z,2023-08-01T00:23:53.000Z,249,236,T467100C,457916,1,4.08,1,1,22.56,17.5,0.5,0.5,3.76,0.0,0.3
58,2,2023-08-01T00:00:12.000Z,2023-08-01T00:31:33.000Z,164,145,T664668C,502148,2,4.05,1,1,27.96,22.0,0.5,0.5,4.66,0.0,0.3
59,1,2023-08-01T00:00:12.000Z,2023-08-01T00:17:52.000Z,43,113,OL1877K,5129009,1,3.0,1,1,17.15,13.0,0.5,0.5,2.85,0.0,0.3
60,1,2023-08-01T00:00:13.000Z,2023-08-01T00:09:16.000Z,264,264,T629093C,5098391,4,0.3,1,1,9.96,7.0,0.5,0.5,1.66,0.0,0.3
61,1,2023-08-01T00:00:13.000Z,2023-08-01T00:13:11.000Z,146,223,T493478C,331721,1,2.8,1,1,15.36,11.5,0.5,0.5,2.56,0.0,0.3
62,1,2023-08-01T00:00:13.000Z,2023-08-01T00:10:21.000Z,68,238,T609809C,5080365,2,3.0,1,2,11.8,10.5,0.5,0.5,0.0,0.0,0.3
63,2,2023-08-01T00:00:13.000Z,2023-08-01T00:21:33.000Z,246,87,T616238C,504603,3,4.43,1,2,19.3,18.0,0.5,0.5,0.0,0.0,0.3
64,2,2023-08-01T00:00:13.000Z,2023-08-01T00:11:07.000Z,229,230,T621037C,502997,1,1.21,1,2,9.3,8.0,0.5,0.5,0.0,0.0,0.3
65,1,2023-08-01T00:00:13.000Z,2023-08-01T00:17:06.000Z,97,61,T627601C,5069140,1,2.3,1,2,13.8,12.5,0.5,0.5,0.0,0.0,0.3
66,2,2023-08-01T00:00:13.000Z,2023-08-01T00:39:52.000Z,186,7,T476081C,441365,5,6.9,1,1,36.96,29.5,0.5,0.5,6.16,0.0,0.3
67,4,2023-08-01T00:00:13.000Z,2023-08-01T00:28:09.000Z,236,79,T415512C,451426,1,6.22,1,1,31.56,25.0,0.5,0.5,5.26,0.0,0.3
68,1,2023-08-01T00:00:13.000Z,2023-08-01T00:18:48.000Z,163,211,T490294C,5020453,1,3.5,1,2,15.8,14.5,0.5,0.5,0.0,0.0,0.3
69,2,2023-08-01T00:00:13.000Z,2023-08-01T00:09:55.000Z,236,151,T415837C,446552,1,2.02,1,1,12.96,9.5,0.5,0.5,2.16,0.0,0.3
70,2,2023-08-01T00:00:14.000Z,2023-08-01T00:06:25.000Z,246,48,T689640C,477793,1,1.24,1,2,7.8,6.5,0.5,0.5,0.0,0.0,0.3
71,2,2023-08-01T00:00:14.000Z,2023-08-01T00:12:55.000Z,79,88,T607098C,437145,5,3.58,1,1,14.8,13.5,0.5,0.5,0.0,0.0,0.3
72,1,2023-08-01T00:00:14.000Z,2023-08-01T00:23:26.000Z,163,226,T791553C,432247,1,3.5,1,1,23.1,16.5,0.5,0.5,5.3,0.0,0.3
73,1,2023-08-01T00:00:14.000Z,2023-08-01T00:07:55.000Z,246,48,T627646C,472839,0,1.8,1,1,10.3,8.0,0.5,0.5,1.0,0.0,0.3
74,1,2023-08-01T00:00:14.000Z,2023-08-01T00:13:30.000Z,163,41,T625900C,437777,1,3.2,1,3,14.3,13.0,0.5,0.5,0.0,0.0,0.3
75,2,2023-08-01T00:00:14.000Z,2023-08-01T00:09:16.000Z,79,4,T447057C,470566,1,1.46,1,1,11.16,8.0,0.5,0.5,1.86,0.0,0.3
76,1,2023-08-01T00:00:14.000Z,2023-08-01T00:16:35.000Z,158,148,T625495C,5134985,2,1.9,1,2,13.3,12.0,0.5,0.5,0.0,0.0,0.3
77,1,2023-08-01T00:00:15.000Z,2023-08-01T00:17:01.000Z,186,141,T620850C,5079222,2,3.4,1,1,16.3,14.0,0.5,0.5,1.0,0.0,0.3
78,2,2023-08-01T00:00:15.000Z,2023-08-01T00:19:46.000Z,231,234,T514323C,466956,1,2.3,1,1,16.28,13.5,0.5,0.5,1.48,0.0,0.3
79,2,2023-08-01T00:00:15.000Z,2023-08-01T00:11:46.000Z,263,162,T510133C,494473,1,2.23,1,1,14.12,10.0,0.5,0.5,2.82,0.0,0.3
80,1,2023-08-01T00:00:15.000Z,2023-08-01T00:13:11.000Z,246,234,T807922C,464487,3,2.2,1,2,11.8,10.5,0.5,0.5,0.0,0.0,0.3
81,2,2023-08-01T00:00:15.000Z,2023-08-01T00:14:24.000Z,148,164,T421664C,5061027,1,3.93,1,2,16.3,15.0,0.5,0.5,0.0,0.0,0.3
82,2,2023-08-01T00:00:15.000Z,2023-08-01T00:15:13.000Z,137,114,CHAMP525,389639,3,2.05,1,1,12.3,11.0,0.5,0.5,0.0,0.0,0.3
83,1,2023-08-01T00:00:15.000Z,2023-08-01T00:11:11.000Z,161,186,T619482C,463168,2,1.6,1,1,11.75,8.5,0.5,0.5,1.95,0.0,0.3
84,1,2023-08-01T00:00:16.000Z,2023-08-01T00:06:09.000Z,158,211,T626774C,407033,1,0.9,1,1,8.8,6.0,0.5,0.5,1.5,0.0,0.3
85,2,2023-08-01T00:00:16.000Z,2023-08-01T00:16:46.000Z,79,263,OL3393K,5118129,1,5.36,1,1,23.76,18.5,0.5,0.5,3.96,0.0,0.3
86,2,2023-08-01T00:00:16.000Z,2023-08-01T23:59:01.000Z,114,68,T614419C,5018328,2,1.77,1,2,10.3,9.0,0.5,0.5,0.0,0.0,0.3
87,2,2023-08-01T00:00:16.000Z,2023-08-01T00:05:47.000Z,42,152,T516735C,5023945,1,1.09,1,2,7.3,6.0,0.5,0.5,0.0,0.0,0.3
88,1,2023-08-01T00:00:16.000Z,2023-08-01T00:07:12.000Z,264,264,T740886C,484780,1,0.9,1,1,9.1,6.0,0.5,0.5,1.8,0.0,0.3
89,2,2023-08-01T00:00:16.000Z,2023-08-01T00:09:46.000Z,164,230,T459753C,449073,1,1.36,1,2,9.3,8.0,0.5,0.5,0.0,0.0,0.3
90,2,2023-08-01T00:00:17.000Z,2023-08-01T00:10:03.000Z,170,79,T509329C,226019,1,1.64,1,1,11.27,8.5,0.5,0.5,1.47,0.0,0.3
91,1,2023-08-01T00:00:17.000Z,2023-08-01T00:12:39.000Z,170,249,T625361C,5101417,1,2.1,1,1,12.43,10.0,0.5,0.5,1.13,0.0,0.3
92,2,2023-08-01T00:00:17.000Z,2023-08-01T00:10:59.000Z,113,162,T512282C,5067287,1,1.85,1,1,12.36,9.0,0.5,0.5,2.06,0.0,0.3
93,1,2023-08-01T00:00:17.000Z,2023-08-01T00:16:11.000Z,48,211,XLXL3,421106,2,3.0,1,1,15.3,12.5,0.5,0.5,1.5,0.0,0.3
94,2,2023-08-01T00:00:17.000Z,2023-08-01T00:05:24.000Z,48,68,T522082C,5158772,1,1.2,1,1,8.76,6.0,0.5,0.5,1.46,0.0,0.3
95,2,2023-08-01T00:00:18.000Z,2023-08-01T00:16:59.000Z,87,68,PRIME202,438115,1,3.72,1,1,18.96,14.5,0.5,0.5,3.16,0.0,0.3
96,2,2023-08-01T00:00:18.000Z,2023-08-01T00:14:31.000Z,90,233,T502228C,5149936,5,2.26,1,1,13.8,11.0,0.5,0.5,1.5,0.0,0.3
97,2,2023-08-01T00:00:18.000Z,2023-08-01T00:09:54.000Z,107,68,T619182C,434630,3,1.53,1,2,9.8,8.5,0.5,0.5,0.0,0.0,0.3
98,2,2023-08-01T00:00:18.000Z,2023-08-01T00:26:20.000Z,65,238,T522749C,5132863,1,11.29,1,1,40.02,33.5,0.5,0.5,5.22,0.0,0.3
99,1,2023-08-01T00:00:19.000Z,2023-08-01T00:12:43.000Z,237,24,T689880C,470588,1,2.9,1,2,13.3,12.0,0.5,0.5,0.0,0.0,0.3
100,2,2023-08-01T00:00:19.000Z,2023-08-01T00:10:01.000Z,158,107,VG205,5146415,1,1.62,1,1,11.76,8.5,0.5,0.5,1.96,0.0,0.3
